contribution_id	row_id	measurement	experiment	specimen	sequence	standard	quality	method_codes	instrument_codes	display_order	result_type	citations	treat_temp	treat_temp_decay_rate	treat_temp_dc_on	treat_temp_dc_off	treat_ac_field	treat_ac_field_decay_rate	treat_ac_field_dc_on	treat_ac_field_dc_off	treat_dc_field	treat_dc_field_decay_rate	treat_dc_field_ac_on	treat_dc_field_ac_off	treat_dc_field_theta	treat_dc_field_phi	treat_mw_power	treat_mw_time	treat_mw_integral	treat_mw_step	treat_step_num	meas_pos_x	meas_pos_y	meas_pos_z	meas_orient_theta	meas_orient_phi	meas_n_orient	meas_temp	meas_temp_change	meas_freq	meas_duration	meas_field_ac	meas_field_ac_theta	meas_field_ac_phi	meas_field_dc	meas_field_dc_theta	meas_field_dc_phi	inversion_height	inversion_residuals	magn_moment	magn_x	magn_x_sigma	magn_y	magn_y_sigma	magn_z	magn_z_sigma	magn_xyz_sigma	magn_induction	magn_b_x	magn_b_x_sigma	magn_b_y	magn_b_y_sigma	magn_b_z	magn_b_z_sigma	magn_b_111	magn_b_111_sigma	magn_b_xyz_sigma	magn_r2_det	dir_dec	dir_inc	dir_csd	magn_volume	magn_mass	magn_uncal	aniso_type	aniso_s	hyst_loop	hyst_sweep_rate	hyst_charging_mode	susc_chi_volume	susc_chi_mass	susc_chi_qdr_volume	susc_chi_qdr_mass	description	timestamp	software_packages	files	external_database_ids	derived_value	analysts
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-10	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	10	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										30		997.34		3.00E-04																																							1.24E-03		4.54E-05		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-11	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	11	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										40		1		3.00E-04																																							1.89E-03		1.12E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-12	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	12	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										40		5.62		3.00E-04																																							1.76E-03		1.06E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-13	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	13	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										40		31.59		3.00E-04																																							1.65E-03		9.64E-05		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-14	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	14	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										40		177.56		3.00E-04																																							1.55E-03		8.91E-05		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-15	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	15	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										40		997.34		3.00E-04																																							1.45E-03		7.55E-05		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-16	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	16	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										50		1		3.00E-04																																							2.31E-03		1.52E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-17	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	17	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										50		5.62		3.00E-04																																							2.14E-03		1.45E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-18	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	18	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										50		31.59		3.00E-04																																							1.98E-03		1.36E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-19	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	19	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										50		177.56		3.00E-04																																							1.83E-03		1.30E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-20	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	20	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										50		997.34		3.00E-04																																							1.70E-03		1.12E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-21	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	21	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										60		1		3.00E-04																																							2.78E-03		2.00E-04		2016-04-15T14:55:59.000-05:00					
