contribution_id	row_id	measurement	experiment	specimen	sequence	standard	quality	method_codes	instrument_codes	display_order	result_type	citations	treat_temp	treat_temp_decay_rate	treat_temp_dc_on	treat_temp_dc_off	treat_ac_field	treat_ac_field_decay_rate	treat_ac_field_dc_on	treat_ac_field_dc_off	treat_dc_field	treat_dc_field_decay_rate	treat_dc_field_ac_on	treat_dc_field_ac_off	treat_dc_field_theta	treat_dc_field_phi	treat_mw_power	treat_mw_time	treat_mw_integral	treat_mw_step	treat_step_num	meas_pos_x	meas_pos_y	meas_pos_z	meas_orient_theta	meas_orient_phi	meas_n_orient	meas_temp	meas_temp_change	meas_freq	meas_duration	meas_field_ac	meas_field_ac_theta	meas_field_ac_phi	meas_field_dc	meas_field_dc_theta	meas_field_dc_phi	inversion_height	inversion_residuals	magn_moment	magn_x	magn_x_sigma	magn_y	magn_y_sigma	magn_z	magn_z_sigma	magn_xyz_sigma	magn_induction	magn_b_x	magn_b_x_sigma	magn_b_y	magn_b_y_sigma	magn_b_z	magn_b_z_sigma	magn_b_111	magn_b_111_sigma	magn_b_xyz_sigma	magn_r2_det	dir_dec	dir_inc	dir_csd	magn_volume	magn_mass	magn_uncal	aniso_type	aniso_s	hyst_loop	hyst_sweep_rate	hyst_charging_mode	susc_chi_volume	susc_chi_mass	susc_chi_qdr_volume	susc_chi_qdr_mass	description	timestamp	software_packages	files	external_database_ids	derived_value	analysts
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-59	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	59	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										130.01		177.56		3.00E-04																																							5.53E-03		5.46E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-60	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	60	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										130.01		997.34		3.00E-04																																							4.93E-03		5.19E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-61	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	61	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										139.99		1		3.00E-04																																							7.82E-03		5.20E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-62	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	62	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										139.99		5.62		3.00E-04																																							7.25E-03		5.46E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-63	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	63	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										139.99		31.59		3.00E-04																																							6.65E-03		5.66E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-64	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	64	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										139.99		177.56		3.00E-04																																							6.03E-03		5.74E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-65	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	65	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										139.99		997.34		3.00E-04																																							5.39E-03		5.56E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-66	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	66	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										150		1		3.00E-04																																							8.21E-03		4.95E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-67	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	67	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										150		5.62		3.00E-04																																							7.67E-03		5.25E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-68	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	68	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										150		31.59		3.00E-04																																							7.08E-03		5.56E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-69	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	69	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										150		177.56		3.00E-04																																							6.47E-03		5.81E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-70	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	70	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										150		997.34		3.00E-04																																							5.81E-03		5.78E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-71	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	71	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										160		1		3.00E-04																																							8.50E-03		4.73E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-72	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	72	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										160		5.62		3.00E-04																																							7.98E-03		5.01E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-73	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	73	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										160		31.59		3.00E-04																																							7.42E-03		5.35E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-74	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	74	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										160		177.56		3.00E-04																																							6.82E-03		5.72E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-75	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	75	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										160		997.34		3.00E-04																																							6.18E-03		5.78E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-76	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	76	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										170		1		3.00E-04																																							8.72E-03		4.60E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-77	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	77	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										170		5.62		3.00E-04																																							8.22E-03		4.81E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-78	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	78	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										170		31.59		3.00E-04																																							7.69E-03		5.11E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-79	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	79	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										170		177.56		3.00E-04																																							7.11E-03		5.56E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-80	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	80	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										170		997.34		3.00E-04																																							6.49E-03		5.68E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-81	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	81	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										180		1		3.00E-04																																							8.90E-03		4.52E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-82	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	82	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										180		5.62		3.00E-04																																							8.41E-03		4.68E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-83	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	83	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										180		31.59		3.00E-04																																							7.89E-03		4.92E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-84	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	84	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										180		177.56		3.00E-04																																							7.34E-03		5.31E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-85	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	85	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										180		997.34		3.00E-04																																							6.74E-03		5.49E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-86	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	86	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										190		1		3.00E-04																																							9.03E-03		4.46E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-87	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	87	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										190		5.62		3.00E-04																																							8.56E-03		4.59E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-88	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	88	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										190		31.59		3.00E-04																																							8.04E-03		4.76E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-89	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	89	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										190		177.56		3.00E-04																																							7.52E-03		5.15E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-90	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	90	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										190		997.34		3.00E-04																																							6.94E-03		5.29E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-91	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	91	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										200		1		3.00E-04																																							9.12E-03		4.36E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-92	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	92	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										200		5.62		3.00E-04																																							8.65E-03		4.50E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-93	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	93	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										200		31.59		3.00E-04																																							8.15E-03		4.64E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-94	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	94	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										200		177.56		3.00E-04																																							7.65E-03		5.00E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-95	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	95	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										200		997.34		3.00E-04																																							7.09E-03		5.08E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-96	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	96	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										210		1		3.00E-04																																							9.16E-03		4.16E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-97	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	97	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										210		5.62		3.00E-04																																							8.71E-03		4.37E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-98	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	98	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										210		31.59		3.00E-04																																							8.22E-03		4.53E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-99	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	99	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										210		177.56		3.00E-04																																							7.74E-03		4.84E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-100	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	100	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										210		997.34		3.00E-04																																							7.20E-03		4.91E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-101	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	101	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										220		1		3.00E-04																																							9.14E-03		3.82E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-102	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	102	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										220		5.62		3.00E-04																																							8.74E-03		4.15E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-103	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	103	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										220		31.59		3.00E-04																																							8.27E-03		4.38E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-104	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	104	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										220		177.56		3.00E-04																																							7.80E-03		4.75E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-105	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	105	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										220		997.34		3.00E-04																																							7.28E-03		4.75E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-106	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	106	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										230		1		3.00E-04																																							9.05E-03		3.33E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-107	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	107	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										230		5.62		3.00E-04																																							8.69E-03		3.79E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-108	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	108	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										230		31.59		3.00E-04																																							8.26E-03		4.16E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-109	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	109	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										230		177.56		3.00E-04																																							7.82E-03		4.54E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-110	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	110	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										230		997.34		3.00E-04																																							7.32E-03		4.59E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-111	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	111	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										240		1		3.00E-04																																							8.89E-03		2.73E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-112	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	112	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										240		5.62		3.00E-04																																							8.59E-03		3.32E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-113	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	113	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										240		31.59		3.00E-04																																							8.21E-03		3.83E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-114	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	114	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										240		177.56		3.00E-04																																							7.80E-03		4.31E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-115	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	115	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										240		997.34		3.00E-04																																							7.32E-03		4.38E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-116	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	116	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										250		1		3.00E-04																																							8.66E-03		2.12E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-117	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	117	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										250		5.62		3.00E-04																																							8.43E-03		2.75E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-118	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	118	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										250		31.59		3.00E-04																																							8.10E-03		3.38E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-119	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	119	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										250		177.56		3.00E-04																																							7.73E-03		3.88E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-120	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	120	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										250		997.34		3.00E-04																																							7.29E-03		4.10E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-121	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	121	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										260		1		3.00E-04																																							8.37E-03		1.56E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-122	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	122	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										260		5.62		3.00E-04																																							8.19E-03		2.17E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-123	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	123	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										260		31.59		3.00E-04																																							7.93E-03		2.85E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-124	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	124	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										260		177.56		3.00E-04																																							7.61E-03		3.45E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-125	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	125	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										260		997.34		3.00E-04																																							7.22E-03		3.75E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-126	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	126	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										270.01		1		3.00E-04																																							8.04E-03		1.11E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-127	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	127	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										270.01		5.62		3.00E-04																																							7.91E-03		1.63E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-128	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	128	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										270.01		31.59		3.00E-04																																							7.71E-03		2.30E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-129	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	129	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										270.01		177.56		3.00E-04																																							7.45E-03		2.92E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-130	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	130	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										270.01		997.34		3.00E-04																																							7.11E-03		3.31E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-131	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	131	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										280		1		3.00E-04																																							7.70E-03		7.77E-05		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-132	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	132	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										280		5.62		3.00E-04																																							7.61E-03		1.20E-04		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-133	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	133	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										280		31.59		3.00E-04																																							7.44E-03		1.79E-04		2016-04-15T14:55:59.000-05:00					
